Library,Symbol,Value,Description,Footprint,Datasheet
MCU_Microchip_PIC32,PIC32MX220F032D-IPT,PIC32MX220F032D-IPT,"32-bit Microcontrollers (32KB Flash and 8KB SRAM TQFP-44) with Audio and Graphics Interfaces, USB, and Advanced Analog",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/60001168F.pdf
MCU_Microchip_PIC32,PIC32MX210F016D-IPT,PIC32MX210F016D-IPT,"32-bit Microcontrollers (16KB Flash and 4KB SRAM TQFP-44) with Audio and Graphics Interfaces, USB, and Advanced Analog",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/60001168F.pdf
MCU_Microchip_PIC32,PIC32MX170F256D-IPT,PIC32MX170F256D-IPT,"32-bit Microcontrollers (256KB Flash and 64KB SRAM TQFP-44) with Audio and Graphics Interfaces, USB, and Advanced Analog",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/60001168F.pdf
MCU_Microchip_PIC32,PIC32MX150F128D-IPT,PIC32MX150F128D-IPT,"32-bit Microcontrollers (128KB Flash and 32KB SRAM TQFP-44) with Audio and Graphics Interfaces, USB, and Advanced Analog",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/60001168F.pdf
MCU_Microchip_PIC32,PIC32MX120F032D-IPT,PIC32MX120F032D-IPT,"32-bit Microcontrollers (32KB Flash and 8KB SRAM TQFP-44) with Audio and Graphics Interfaces, USB, and Advanced Analog",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/60001168F.pdf
Analog_ADC,LTC2293xUP,LTC2293xUP,"Dual-Channel, 12-Bit Low Power ADC, 65Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/229321fa.pdf
MCU_Microchip_PIC32,PIC32MX110F016D-IPT,PIC32MX110F016D-IPT,"32-bit Microcontrollers (16KB Flash and 4KB SRAM TQFP-44) with Audio and Graphics Interfaces, USB, and Advanced Analog",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/60001168F.pdf
MCU_Microchip_PIC24,PIC24FV32KA304-IPT,PIC24FV32KA304-IPT,"32K Flash, 2048B SRAM, 512B EEPROM, nanoWatt XLP, 12-bit ADC, PWM, RTCC, TQFP44",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/39995d.pdf
MCU_Microchip_PIC18,PIC18LF46K80-IML,PIC18LF46K80-IML,"64K Flash, 3.5K RAM, 1K EEPROM PIC18 Microcontroller ADC PWM CAN SPI I2C USART in QFN44 package",Package_DFN_QFN:QFN-44-1EP_8x8mm_P0.65mm_EP6.45x6.45mm,http://ww1.microchip.com/downloads/en/DeviceDoc/39977f.pdf
MCU_Microchip_PIC18,PIC18LF45K80-IML,PIC18LF45K80-IML,"32K Flash, 3.5K RAM, 1K EEPROM PIC18 Microcontroller ADC PWM CAN SPI I2C USART in QFN44 package",Package_DFN_QFN:QFN-44-1EP_8x8mm_P0.65mm_EP6.45x6.45mm,http://ww1.microchip.com/downloads/en/DeviceDoc/39977f.pdf
MCU_Microchip_PIC18,PIC18LF45J10-IP,PIC18LF45J10-IP,"32K Flash, 1K SRAM, ADC, DIP40",Package_DIP:DIP-40_W15.24mm,http://ww1.microchip.com/downloads/en/DeviceDoc/39682E.pdf
Audio,TPA5050,TPA5050,"Stereo Digital Audio Lip-Sync Delay Processor With I2C Control, QFN-16",Package_DFN_QFN:Texas_S-PVQFN-N16_EP2.7x2.7mm_ThermalVias,http://www.ti.com/lit/ds/symlink/tpa5050.pdf
MCU_Microchip_PIC18,PIC18LF452-IPT,PIC18LF452-IPT,"32K Flash, 1536B SRAM, 256 EEPROM, ADC, TQFP-44",Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/39564c.pdf
MCU_Microchip_PIC18,PIC18LF44J10-IP,PIC18LF44J10-IP,"16K Flash, 1K SRAM, ADC, DIP40",Package_DIP:DIP-40_W15.24mm,http://ww1.microchip.com/downloads/en/DeviceDoc/39682E.pdf
Amplifier_Operational,LTC6362xMS8,LTC6362xMS8,"Precision, Low Power, Rail-to-Rail Input/Output, Differential Op Amp/SAR ADC Driver, DFN-8",Package_SO:MSOP-8_3x3mm_P0.65mm,https://www.analog.com/media/en/technical-documentation/data-sheets/6362fa.pdf
Amplifier_Operational,LTC6362xDD,LTC6362xDD,"Precision, Low Power, Rail-to-Rail Input/Output, Differential Op Amp/SAR ADC Driver, DFN-8",Package_DFN_QFN:DFN-8-1EP_3x3mm_P0.5mm_EP1.66x2.38mm,https://www.analog.com/media/en/technical-documentation/data-sheets/6362fa.pdf
Potentiometer_Digital,DS1882E,DS1882E,"Dual Log Audio Digital Potentiometer, 64 positions, TSSOP-16",Package_SO:TSSOP-16_4.4x5mm_P0.65mm,https://datasheets.maximintegrated.com/en/ds/DS1882.pdf
Audio,DSD1794A,DSD1794A,"24-Bit, 192-kHz Sampling, Advanced Segment, Audio Stereo Digital-to-Analog Converter, SW Control, SSOP-28",Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,http://www.ti.com/lit/ds/symlink/dsd1794a.pdf
Analog_ADC,LTC2294xUP,LTC2294xUP,"Dual-Channel, 12-Bit Low Power ADC, 80Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/2294fa.pdf
Analog_ADC,LTC2295xUP,LTC2295xUP,"Dual-Channel, 14-Bit Low Power ADC, 10Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/2295fa.pdf
Analog_ADC,LTC2296xUP,LTC2296xUP,"Dual-Channel, 14-Bit Low Power ADC, 25Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/229876fa.pdf
Analog_ADC,LTC2297xUP,LTC2297xUP,"Dual-Channel, 14-Bit Low Power ADC, 40Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/229876fa.pdf
Analog_ADC,LTC2298xUP,LTC2298xUP,"Dual-Channel, 14-Bit Low Power ADC, 65Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/229876fa.pdf
Analog_ADC,LTC2299xUP,LTC2299xUP,"Dual-Channel, 14-Bit Low Power ADC, 80Msps, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/2299fa.pdf
Amplifier_Audio,LM4990MM,LM4990MM,"Boomer 2 Watt Audio Power Amplifier with Selectable Shutdown Logic Level, VSSOP-8",Package_SO:TSSOP-8_3x3mm_P0.65mm,http://www.ti.com/lit/ds/symlink/lm4990.pdf
Amplifier_Audio,LM4755TS,LM4755TS,"Stereo 11W Audio Power Amplifier with Mute, TO-263-9",Package_TO_SOT_SMD:TO-263-9_TabPin5,http://www.ti.com/lit/ds/symlink/lm4755.pdf
Amplifier_Audio,LM4766,LM4766,"Overture Audio Power Amplifier Series Dual 40W Audio Power Amplifier with Mute, TO-220-15",Package_TO_SOT_THT:TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical,http://www.ti.com/lit/ds/symlink/lm4766.pdf
Amplifier_Audio,LM4950TA,LM4950TA,"Boomer Audio Power Amplifier Series 7.5W Mono-BTL or 3.1W Stereo Audio Power Amplifier, TO-220-9",Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,http://www.ti.com/lit/ds/symlink/lm4950.pdf
Amplifier_Audio,TFA9879HN,TFA9879HN,"Mono BTL class-D audio amplifier for portable applications with digital input, HVQFN-24",Package_DFN_QFN:HVQFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,https://www.nxp.com/docs/en/data-sheet/TFA9879.pdf
Audio,THAT1580,THAT1580,"Low-Noise, Differential Audio Preamplifier IC, 0.005% THD+N, -134.8dBu EIN, QFN-16",Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias,http://www.thatcorp.com/datashts/THAT_1580_Datasheet.pdf
Audio,THAT1583,THAT1583,"Low-Noise, Differential Audio Preamplifier IC, 0.006% THD+N, -128.9dBu EIN, QFN-16",Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias,http://www.thatcorp.com/datashts/THAT_1583_Datasheet.pdf
Audio,THAT5173,THAT5173,"Audio Preamplifier Digital Controller IC, QFN-24",Package_DFN_QFN:QFN-24-1EP_5x5mm_P0.65mm_EP3.4x3.4mm,http://www.thatcorp.com/datashts/THAT_5173_Datasheet.pdf
Analog_DAC,AD9106BCP,AD9106BCP,"Analog Devices Quad, Low Power, 12-Bit, 180 MSPS, Digital-to-Analog Converter and Waveform Generator",Package_CSP:LFCSP-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ad9106.pdf
Amplifier_Audio,LM4752TS,LM4752TS,"Stereo 11W Audio Power Amplifier, TO-263-7",Package_TO_SOT_SMD:TO-263-7_TabPin4,http://www.ti.com/lit/ds/symlink/lm4752.pdf
Analog_DAC,AD9142,AD9142,"1.6GSPS 16bit dual-channel DAC, LFCSP-72",Package_CSP:LFCSP-72-1EP_10x10mm_P0.5mm_EP6.15x6.15mm,https://www.analog.com/media/en/technical-documentation/data-sheets/AD9142.pdf
Analog_DAC,AD9744,AD9744,"210MSPS 14bit DAC, TSSOP-28",Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm,https://www.analog.com/media/en/technical-documentation/data-sheets/AD9744.pdf
Interface,AD9851,AD9851,"CMOS, 180 MHz, DDS/DAC Synthesizer, SSOP-28",Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,https://www.analog.com/media/en/technical-documentation/data-sheets/AD9851.pdf
Analog_Switch,ADG884xRM,ADG884xRM,"0.5Ω CMOS, Dual 2:1 MUX/SPDT Audio Switch, MSOP-10",Package_SO:MSOP-10_3x3mm_P0.5mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ADG884.pdf
Audio,TLV320AIC23BRHD,TLV320AIC23BRHD,"Stero Audio CODEC, 8- to 96-kHz, With Integrated Headphone Amplifier, QFN-28",Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,http://www.ti.com/lit/ds/symlink/tlv320aic23b.pdf
Audio,TLV320AIC3100,TLV320AIC3100,"Low Power Audio Codec with Audio Processing and Mono Class‑D Amplifier, VQFN-32",Package_DFN_QFN:VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,http://www.ti.com/lit/ds/symlink/tlv320aic3100.pdf
Audio,ADAU1761,ADAU1761,"SigmaDSP Stereo, Low Power, 96 kHz, 24-bit Audio Codec with Integrated PLL, VQFN-32 (LFCSP-32)",Package_CSP:LFCSP-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm_ThermalVias,https://www.analog.com/media/en/technical-documentation/data-sheets/ADAU1761.pdf
Analog_DAC,THS5641AxDW,THS5641AxDW,"8-Bit, 100 MSPS, CommsDAC, Parallel Current DAC, SOIC-28",Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/ths5641a.pdf
Amplifier_Video,THS7374,THS7374,"4 channel SDTV Video Amplifier, TSSOP-14",Package_SO:TSSOP-14_4.4x5mm_P0.65mm,https://www.ti.com/lit/ds/symlink/ths7374.pdf
Interface,AD9912,AD9912,"1 GSPS, 14-bit DAC, Direct Digital Synthesizer, LFCSP-64",Package_CSP:LFCSP-64-1EP_9x9mm_P0.5mm_EP5.21x5.21mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ad9912.pdf
Interface,AD9951,AD9951,"14-Bit Direct Digital Synthesizer with 400MSPS DAC, 1.8V, TQFP48",Package_QFP:TQFP-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm,https://www.analog.com/static/imported-files/data_sheets/AD9951.pdf
Interface,AD9954,AD9954,"14-Bit Direct Digital Synthesizer with 400MSPS DAC, 1.8V, TQFP48",Package_QFP:TQFP-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm,https://www.analog.com/static/imported-files/data_sheets/AD9954.pdf
Amplifier_Audio,Si8244BB,Si8244BB,"Class D Audio Driver With Precision Dead-Time Generator, 8V UVLO, ±750V, ±4A, SOIC-16",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,https://www.onsemi.com/pub/Collateral/NCD5702-D.PDF
Amplifier_Audio,Si8241BB,Si8241BB,"Class D Audio Driver With Precision Dead-Time Generator, 8V UVLO, ±750V, ±0.5A, SOIC-16",Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,https://www.silabs.com/documents/public/data-sheets/Si824x.pdf
Video,ADA4430-1WYRTZ,ADA4430-1WYRTZ,"Ultralow Power, Video Filter, Power-Down, SOT-23",Package_TO_SOT_SMD:SOT-23-6,https://www.analog.com/media/en/technical-documentation/data-sheets/ADA4430-1.pdf
Video,ADA4430-1YKSZ,ADA4430-1YKSZ,"Ultralow Power, Video Filter, Power-Down, SOT-363",Package_TO_SOT_SMD:SOT-363_SC-70-6,https://www.analog.com/media/en/technical-documentation/data-sheets/ADA4430-1.pdf
Analog_Switch,HI524,HI524,"4-Channel Wideband and Video Multiplexer, DIP-18",Package_DIP:DIP-18_W7.62mm,https://www.intersil.com/content/dam/Intersil/documents/hi-5/hi-524.pdf
